"","organization","orgID","province","country"
"348","Bishop's University (Quebec)","CFFA","Québec","Canada"
"349","Ovarian Cancer Canada (Toronto)","NOCA","Ontario","Canada"
"350","Canadian Neurological Sciences Federation (Calgary, AB)/Fédération des sciences neurologiques du Canada","CNSF","Alberta","Canada"
"351","Mount Royal University (Calgary, Alberta)","MROY","Alberta","Canada"
"352","The Foundation Fighting Blindness (Canada)","INSI","Ontario","Canada"
"353","The Wood Buffalo HIV & AIDS Society (Fort McMurray, AB)","WBHA","Alberta","Canada"
"354","Asian Community AIDS Services (Toronto, Ontario)","ASCO","Ontario","Canada"
"355","Cystic Fibrosis Canada","INRM","Ontario","Canada"
"356","Yukon University","ABYC","Yukon","Canada"
"357","First Nations University of Canada - Northern Campus (Prince Albert, Sask)","FIRS","Saskatchewan","Canada"
"358","Alzheimer Society of Saskatchewan","ASOS","Saskatchewan","Canada"
"359","The SHARP Foundation (Calgary, Alberta)","TSFO","Alberta","Canada"
"360","Kahnawake Schools Diabetes Prevention Project (Quebec)","KAHD","Québec","Canada"
"361","Active Healthy Kids Canada (Toronto, ON)","AHKC","Ontario","Canada"
"362","Friends of Canadian Institutes of Health Research (Toronto, ON)/Les Amis des IRSC (Toronto, ON)","FCIH","Ontario","Canada"
"363","Cape Breton Regional Hospital (Sydney, Nova Scotia)","CBRH","Nova Scotia","Canada"
"364","Canadian Psychiatric Research Foundation","INSX","Ontario","Canada"
"365","Registered Nurses Association of Ontario (Mississauga, Ontario )/Association des infirmières et infirmiers autorisés de l'Ontario","RNAO","Ontario","Canada"
"366","Multiple Sclerosis Society of Canada","INSG","Ontario","Canada"
"367","Manning Innovation Awards (Calgary, Alberta)","MANI","Alberta","Canada"
"368","Association des communicateurs scientifiques du Québec (Montréal, QC)","ASCS","Québec","Canada"
"369","Canadian Council on Animal Care (Ottawa)","CPVG","Ontario","Canada"
"370","Centre for Imaging Technology Commercialization (London ON)","TCOM","Ontario","Canada"
"371","Centre for Commercialization of Regenerative Medicine (Toronto)","ENRE","Ontario","Canada"
"372","Public Health Agency of Canada","HCPP","Ontario","Canada"
"373","Canadian Foundation for Women's Health/Fondation canadienne de la santé des femmes","CFWH","Ontario","Canada"
"374","Institute for Circumpolar Health Research (Yellowknife, NWT)","ICHR","North West Territories","Canada"
"375","Ontario Agency for Health Protection and Promotion (Toronto, Ontario)/L'Agence ontarienne de protection et de promotion de la santé","OAHP","Ontario","Canada"
"376","Pacific AIDS Network (Vancouver, BC)","PANE","British Columbia","Canada"
"377","Emily Carr University of Art & Design (Vancouver, BC)","ECIA","British Columbia","Canada"
"378","Centre de Santé et de services sociaux de la Vieille Capitale","IELL","Québec","Canada"
"379","Tlicho Community Services Agency (NWT)","TLIC","North West Territories","Canada"
"380","Canadian Science Writers Association (Toronto ONT)","CSWA","Ontario","Canada"
"381","Science and Technology Awareness Network","SATA","Ontario","Canada"
"382","Niagara College Canada - Niagara-on-the-Lake Campus (Ontario)","NCOL","Ontario","Canada"
"383","Canadian Nutrition Society (Ottawa, Ontario)/Société canadienne de nutrition","CNSS","Ontario","Canada"
"384","Canadian Association of University Research Administrators (Tantallon, NS)/Assoc. canad d'administrateurs de recherche universitaire (Tantallon, NS)","CAUR","Nova Scotia","Canada"
"385","Royal Canadian Institute for the Advancement of Science","RCIA","Ontario","Canada"
"386","Canadian Nurses Foundation (Ontario)","CECH","Ontario","Canada"
"387","Canada's Research Based Pharmaceutical Co. (Rx&D)","INUX","Ontario","Canada"
"388","Canadian Digestive Health Foundation","INUP","Ontario","Canada"
"389","Child Welfare League of Canada/Ligue pour la bien-être de l'enfance du Canada","CWLC","Ontario","Canada"
"390","Osteoporosis Canada (Toronto, Ontario)","OSOC","Ontario","Canada"
"391","Ovarian Cancer Canada (Vancouver, BC)/Cancer de l'ovaire Canada","OCCA","British Columbia","Canada"
"392","British Columbia Institute of Technology (Vancouver)","BCIT","British Columbia","Canada"
"393","Canadian Hospice Palliative Care Association (Ottawa)/L'Association canadienne de soins palliatifs (Ottawa)","CHPC","Ontario","Canada"
"394","National Native Addictions Partnership Foundation (Muskoday, Saskatchewan)/La fondation autochtone nat. de partenariat pour lutte contre dépendances","NNAP","Saskatchewan","Canada"
"395","Canadian Science Policy Centre (Toronto)","CSPO","Ontario","Canada"
"396","Canadian Stem Cell Foundation (Ottawa, Ontario)/La Fondation Canadienne de Cellules Souches","CSCF","Ontario","Canada"
"397","Association francophone pour le savoir (Montréal)","SAVO","Québec","Canada"
"398","Aurora Research Institute (Inuvik, NWT)","AURR","North West Territories","Canada"
"399","Canadian Gene Cure Foundation","CGCF","British Columbia","Canada"
"400","Rainbow Health Ontario (Toronto)","RAHO","Ontario","Canada"
"401","Université de Saint-Boniface (Manitoba)","CUSB","Manitoba","Canada"
"402","Northwood Care Inc. (Nova Scotia)","ORCA","Nova Scotia","Canada"
"403","Trillium Health Partners (Mississauga, ON)","TRIU","Ontario","Canada"
"404","Vancouver Coastal Health Authority","VCHA","British Columbia","Canada"
"405","Mental Health Commission of Canada (Calgary Office)","MHCB","Alberta","Canada"
"406","Conestoga College Institute of Technology & Advanced Learning (Kitchener)","COCO","Ontario","Canada"
"407","Canadian Association of Postdoctoral Scholars/Association Canadienne des Stagiares Post-doctoraux","CAPS","Québec","Canada"
"408","Dietitians of Canada (Ottawa, Ont)/Les diététistes du Canada","DICA","Ontario","Canada"
"409","Research Canada:  An Alliance for Healthy Discovery (Ottawa, Ont.)/Recherche Canada : Une alliance pour les découvertes en santé","CHRC","Ontario","Canada"
"410","Saskatchewan Inst. of Applied Science & Tech (SK)","ADWU","Saskatchewan","Canada"
"411","Cégep de Lévis (Lévis, Québec)","CLLA","Québec","Canada"
"412","Télé-université (Québec)","TELE","Québec","Canada"
"413","Ottawa Public Health (Ontario)","ADEY","Ontario","Canada"
"414","Algoma University (Sault Ste. Marie, Ontario)","ALUC","Ontario","Canada"
"415","Health Initiative For Men Society (Vancouver, BC)","HIMS","British Columbia","Canada"
"416","Diabetes Canada (Toronto, Ontario)","INRN","Ontario","Canada"
"417","Ovarian Cancer Canada (Montreal, QC)/Cancer de l'ovaire Canada (Montréal)","OVCC","Québec","Canada"
"418","Musée Armand-Frappier centre d'interprétation des biosciences (Laval, QC)","MAFR","Québec","Canada"
"419","Canadian Orthopaedic Foundation","CCOF","Ontario","Canada"
"420","Canadian Breast Cancer Foundation (Toronto, Ontario)","INRV","Ontario","Canada"
"421","Canadian Association of Cardiac Rehabilitation (Winnipeg)","CACR","Manitoba","Canada"
"422","Covenant Health (Edmonton)","COHE","Alberta","Canada"
"423","Society for Canadian Women in Science and Technology (Vancouver, BC)","SCWS","British Columbia","Canada"
"424","De-ba-jeh-mu-jig Theatre Group (Wikwemikong, Ont.)","ABTT","Ontario","Canada"
"425","Canadian Association of Occupational Therapists (Ottawa)","ADIC","Ontario","Canada"
"426","The de Veber Institute for Bioethics and Social Research (Toronto, Ont)","TDVI","Ontario","Canada"
"427","Italian Scientific Community in Canada (Montreal, QC)","ISCC","Québec","Canada"
"428","NSCAD University, Nova Scotia College of Art and Design","NSCU","Nova Scotia","Canada"
"429","Northern Ontario School of Medicine - East Campus/École de médecine du Nord de l'Ontario","NOWW","Ontario","Canada"
"430","AIDS Vancouver","AIDV","British Columbia","Canada"
"431","The Gairdner Foundation (Toronto)","GAIR","Ontario","Canada"
"432","Canadian Agency for Drugs and Technologies in Health (Ottawa)/Agence canadienne des médicaments et des technologies de la santé","CCOH","Ontario","Canada"
"433","Canadian Digital Media Network (Kitchener, Ontario)","CDMN","Ontario","Canada"
"434","GreenCentre Canada (Kingston, Ontario)","GCCA","Ontario","Canada"
"435","8738602 Canada Centre (Sudbury, Ontario)","UDMN","Ontario","Canada"
"436","8769532 Canada Center (Toronto, Ontario)","REMA","Ontario","Canada"
"437","Exactis Innovation (Quebec)/Innovation Exactis","CEBI","Québec","Canada"
"438","Ontario Spor Support Unit (Toronto, Ontario)","ONSP","Ontario","Canada"
"439","National Association of Friendship Centres (Ottawa, Ontario)","NAFC","Ontario","Canada"
"440","First Nations Health and Social Secretariat of Manitoba (Winnipeg)","FNHS","Manitoba","Canada"
"441","Bridgepoint Active Healthcare (Toronto, Ontario)","BRIH","Ontario","Canada"
"442","Human Frontier Science Program","HFSP","Unknown/Inconnu","France"
"443","Alliance for the Commercialization of Canadian Technologies (Calgary, AB)","ACCT","Alberta","Canada"
"444","Canadian Society for Clinical Investigation (Ottawa)","ABUO","Ontario","Canada"
"445","Ontario Shores Centre for Mental Health Sciences (Whitby, Ontario)","OSCM","Ontario","Canada"
"446","Pancreatic Cancer Canada  (Ottawa, Ontario)/Cancer du Pancréas Canada","PCCA","Ontario","Canada"
"447","Share Your Science (Québec, QC)","SHYS","Québec","Canada"
"448","New Brunswick Health Research Foundation (Fredericton, NB)","NBHF","New Brunswick","Canada"
"449","Nova Scotia Health Research Foundation","INYH","Nova Scotia","Canada"
"450","Network of Networks","TNON","Ontario","Canada"
"451","St. Mary's Hospital Center (Montreal)","CFAE","Québec","Canada"
"452","Alberta Health Services North Zone","AHNZ","Alberta","Canada"
"453","Crohn's and Colitis Foundation of Canada","INRP","Ontario","Canada"
"454","Active Aging Canada (Shelburne, Ontario)/Vieillire Activement Canada","ACLI","Ontario","Canada"
"455","HealthCareCAN (Ottawa, Ontario)/SoinsSantéCAN","HCAR","Ontario","Canada"
"456","Centre for Commercialization of Antibodies and Biologics (Toronto, Ont.)","CABI","Ontario","Canada"
"457","Centre of Excellence in Next Generation Networks (Ottawa, Ont)","CENG","Ontario","Canada"
"458","Accel - Rx Health Sciences Accelerator Society (Vancouver, BC)","ACRX","British Columbia","Canada"
"459","NeoMed Inc. (Montreal, QC)","NMEI","Québec","Canada"
"460","Michael Smith Foundation for Health Research","MSBC","British Columbia","Canada"
"461","Canadian Centre on Substance Abuse (Ottawa)","AECK","Ontario","Canada"
"462","Vancouver Infectious Diseases Centre (British Columbia)","VIDC","British Columbia","Canada"
"463","BC Academic Health Science Network Society","BCSN","British Columbia","Canada"
"464","Fanshawe College","AECY","Ontario","Canada"
"465","Canadian Academy of Health Sciences (Ottawa, Ontario)/Académie canadienne des sciences de la santé","CHSC","Ontario","Canada"
"466","North York General Hospital (Toronto)","NYGH","Ontario","Canada"
"467","Aboriginal Nurses Association of Canada","ANAC","Ontario","Canada"
"468","Kwantlen Polytechnic University (BC)","KWAN","British Columbia","Canada"
"469","George Brown College (Toronto)","ADEX","Ontario","Canada"
"470","Montréal International (Québec)","MTLI","Québec","Canada"
"471","Alberta Cancer Foundation","INSV","Alberta","Canada"
"472","Noojmowin Teg Health Centre","NOOT","Ontario","Canada"
"473","Royal Society of Canada (Ottawa)","AAFG","Ontario","Canada"
"474","World Health Organization (Switzerland)/Organisation mondiale de la santé","BADX","Unknown/Inconnu","Switzerland"
"475","British Columbia Institute of Technology (Burnaby)","AECX","British Columbia","Canada"
"476","University of The Fraser Valley (BC)","UCSV","British Columbia","Canada"
"477","The Society of Obstetricians and Gynaecologists of Canada, Ottawa/La Société des obstétriciens et gynécologues du Canada, Ottawa","SOGC","Ontario","Canada"
"478","Qaujigiartiit Health Research Centre (NU)","QAJU","Nunavut","Canada"
"479","Canadian Association on Gerontology (Toronto, Ontario)","ADYC","Ontario","Canada"
"480","MitoCanada (Burlington, ON)","MITO","Ontario","Canada"
"481","Saskatchewan HIV/AIDS Research Endeavor","SHRE","Saskatchewan","Canada"
"482","Collège Édouard-Montpetit (Longueuil, QC)","COEM","Québec","Canada"
"483","Canadian Bioethics Society (Montreal)/Société canadienne Bioéthique (Montréal)","CBSM","Québec","Canada"
"484","Canadian Organization for Rare Disorders (Toronto, Ontario)","CORD","Ontario","Canada"
"485","Montreal InVivo/Montréal InVivo","MIVV","Québec","Canada"
"486","Société québécoise de lipidologie, de nutrition & de métabolisme (Québec)","SQLN","Québec","Canada"
"487","Centre de réadaptation en dépendance de Montréal (Québec)","CRDM","Québec","Canada"
"488","Canadian Association for Neuroscience (Vancouver, BC)/Association canadienne des neurosciences","CAAS","British Columbia","Canada"
"489","La Cité collégiale (Ottawa, ON)","CITC","Ontario","Canada"
"490","Cégep régional de Lanaudière (Repentigny, Québec)","CRDL","Québec","Canada"
"491","New Brunswick Community College (Saint John)","NBRS","New Brunswick","Canada"
"492","Diabetes Canada (Ottawa, Ontario)","DCAN","Ontario","Canada"
"493","Canadian Association of Postdoctoral Administrators (Waterloo,ON)","CPOS","Ontario","Canada"
"494","Indigenous Diabetes Health Circle (Thorold, ON)","IDHC","Ontario","Canada"
"495","Southwestern Ontario Aboriginal Health Access Centre (London,ON)","SOAH","Ontario","Canada"
"496","MCMURRAY MÉTIS (Alberta)","MCMM","Alberta","Canada"
"497","Waypoint Centre for Mental Health Care (Ontario)","WCMH","Ontario","Canada"
"498","First Nations Health and Social Secretariat of Manitoba (Winnipeg)","FNHM","Manitoba","Canada"
"499","Sioux Lookout First Nations Health Authority (Sioux Lookout,ON)","SFNH","Ontario","Canada"
"500","Aboriginal Head Start Association of British Columbia (British-Columbia)","AHSA","British Columbia","Canada"
"501","The Alberta First Nations Information Governance Centre (Calgary)","AFNI","Alberta","Canada"
"502","MASKWACIS HEALTH SERVICES (Alberta)","MASK","Alberta","Canada"
"503","Nuu-Chah-Nulth Tribal Council (British Columbia)","NCNU","British Columbia","Canada"
"504","ABORIGINAL PHYSICAL ACTIVITY CULTURAL CIRCLE (Vancouver,BC)","APAC","British Columbia","Canada"
"505","MEDTEQ (Montréal, Québec)","MTEQ","Québec","Canada"
"506","Arctic Institute of Community-Based Research (Whitehorse, Yukon)","AICB","Yukon","Canada"
"507","The Partnership Group for Science and Engineering (Ottawa, ON)/Partenariat en faveur des sciences et de la technologie","PGSE","Ontario","Canada"
"508","The British Columbia Association of Community Response Networks (Surrey)","BRIC","British Columbia","Canada"
"509","New Brunswick Community College","NBRU","New Brunswick","Canada"
"510","Science and Policy Exchange (Montreal, QC)/Dialogue sciences et politiques","SPOE","Québec","Canada"
"511","Universities Canada (Ottawa, ON)/Universités Canada","AUCC","Ontario","Canada"
"512","Saskatchewan Health Authority (Saskatoon)","SAHA","Saskatchewan","Canada"
"513","Canadian Mennonite University (Winnipeg, MB)","CMUN","Manitoba","Canada"
"514","Sahtu Renewable Resources Board (Tuli´t'a, NT)","SRRB","North West Territories","Canada"
"515","Makivik Corporation (Kuujjuaq, Quebec)","MAKC","Québec","Canada"
"516","Institute for Clinical Evaluative Sciences-Toronto","AEAE","Ontario","Canada"
"517","Canadian Association for Graduate Studies (Ottawa, Ontario)","CAGS","Ontario","Canada"
"518","Canadian Institutes of Health Research (Ottawa, Ontario)/Instituts de recherche en santé du Canada (Ottawa, Ontario)","CIHR","Ontario","Canada"
"519","Métis Nation of Alberta (Edmonton)","MNAB","Alberta","Canada"
"520","Sickle Cell Foundation of Alberta","SCFA","Alberta","Canada"
"521","Red River College (Winnipeg, Manitoba)","RRCO","Manitoba","Canada"
"522","Cégep Saint Jérôme (Québec)","CPSJ","Québec","Canada"
"523","Concordia University of Edmonton","CONC","Alberta","Canada"
"524","Canadian Association of Research Libraries (Ottawa, Ontario)/Association des bibliothèques de recherche du Canada","CARL","Ontario","Canada"
"525","Ontario Public Health Association (Toronto)","OPUB","Ontario","Canada"
"526","Cégep de Drummondville (Québec)","CDRU","Québec","Canada"
"527","BC Women's Health Foundation","BCWH","British Columbia","Canada"
"528","U15 Group of Canadian Research Universities (Ottawa, ON)/Regroupement des universités de recherche du Canada","GOUC","Ontario","Canada"
"529","Realize (Toronto, ON)/Réalise (Toronto, ON)","RHIV","Ontario","Canada"
"530","Alberta Recreation & Parks Association","ARAP","Alberta","Canada"
"531","Friends of Ruby (Toronto, Ontario)","FROR","Ontario","Canada"
"532","Saskatchewan Polytechnic (SK)","SPOL","Saskatchewan","Canada"
"533","Ont. Federation of Indigenous Friendship Centres (Toronto, Ontario)","OFIF","Ontario","Canada"
"534","Creating Hope Society of Alberta","CHNP","Alberta","Canada"
"535","Liard Aboriginal Women's Society (LAWS)","LAWS","Yukon","Canada"
"536","Paq'tnkek Health Centre (Nova Scotia)","PHCA","Nova Scotia","Canada"
"537","Métis Nation of Greater Victoria","MNGV","British Columbia","Canada"
"538","Make Way (Vancouver, BC)","TCIA","British Columbia","Canada"
"539","Re$earch Money (Toronto, ON)","RESM","Ontario","Canada"
"540","College of New Caledonia (Prince George, BC)","CNCA","British Columbia","Canada"
"541","Humber College (Toronto)","IRWX","Ontario","Canada"
"542","NorQuest College (Edmonton, Alberta)","NORQ","Alberta","Canada"
"543","Seneca College (Toronto)","AARK","Ontario","Canada"
"544","Future Earth (Montreal, QC)","FUEA","Québec","Canada"
"545","Georgian College (Barrie, ON)","GEOC","Ontario","Canada"
"546","Justice Institute of British Columbia (New Westminster, BC)","JUIB","British Columbia","Canada"
"547","Royal Military College of Canada (Kingston)","AADI","Ontario","Canada"
"548","MacEwan University (Edmonton)","AEHO","Alberta","Canada"
"549","The King's University College (Edmonton, Alberta)","TKUC","Alberta","Canada"
"550","Communities, Alliances & Networks (Vancouver)/Communautés, alliances et réseaux","CABO","British Columbia","Canada"
"551","Red River College Polytechnic (Winnipeg, Manitoba)","RRCO","Manitoba","Canada"
"552","The Alberta First Nations Information Governance Centre (Calgary, Alberta)","AFNI","Alberta","Canada"
"553","Seneca College of Applied Arts and Technology (Toronto)","AARK","Ontario","Canada"
"554","Michael Smith Health Research BC","MSBC","British Columbia","Canada"
"555","Alberta Innovates (Edmonton)","INRC","Alberta","Canada"
"556","Northwest Territories SPOR Support Unit","NWTS","North West Territories","Canada"
"557","CÉGEP de Jonquière (Québec)","ADNP","Québec","Canada"
"558","Canadian Society of Pharmacology and Therapeutics (Ottawa, ON)","CSPT","Ontario","Canada"
"559","Life Sciences Ontario","LSOO","Ontario","Canada"
"560","Lambton College (Sarnia, ON)","LAMC","Ontario","Canada"
"561","Raven Indigenous Impact Foundation (Vancouver, BC)","RIIF","British Columbia","Canada"
"562","Schlegel-U of Waterloo Research Institute for Aging (Kitchener, Ontario)","SURI","Ontario","Canada"
"563","King's University College at Western University (London, Ontario)","AAWK","Ontario","Canada"
"564","Institut du Savoir Montfort (Ottawa, ON)","IRHM","Ontario","Canada"
"565","The Canadian Association for the Study of Liver","INVA","Alberta","Canada"
"566","AIDS Committee Of Cambridge, Kitchener, Waterloo & Area","ACCK","Ontario","Canada"
"567","GRIS-Montréal","GRIM","Québec","Canada"
"568","Sher Vancouver","SHER","British Columbia","Canada"
"569","Close Look United Foundation (Surrey, British Columbia)","CLOS","British Columbia","Canada"
"570","Divergenres (Québec)","DIVE","Québec","Canada"
"571","Northern Mosaic Network (Yellowknife, NWT)","RCYK","North West Territories","Canada"
"572","Gay & Grey Montréal","GMTL","Québec","Canada"
"573","Comité FrancoQueer de l'Ouest","CFQO","Alberta","Canada"
"574","TransEstrie (Québec)","TRES","Québec","Canada"
"575","AlterHeros (Montréal, Québec)/AlterHéros (Montréal, Québec)","HERO","Québec","Canada"
"576","The Enchanté Network (Edmonton, Alberta)/Le Réseau Enchanté (Edmonton, Alberta)","ENCH","Alberta","Canada"
"577","QTBIPOC sauga (Mississauga, Ontario)","QTBI","Ontario","Canada"
"578","Réseau de la santé sexuelle des Sourds du Québec (Montréal, Québec)/Réseau de la santé sexuelle des Sourds du Québec","RSSS","Québec","Canada"
"579","Eagle Canada (Toronto)","ECHR","Ontario","Canada"
"580","Wisdom2Action (Halifax and Nova Scotia)","WISD","Nova Scotia","Canada"
"581","Loch Lomond Villa Inc. (Saint-John's, NB)","LLVV","New Brunswick","Canada"
"582","Saint Elizabeth Health Care (Markham, Ontario)","SEHC","Ontario","Canada"
"583","Métis Nation of Ontario","MNOA","Ontario","Canada"
"584","INRS - Énergie Matériaux Télécommunications Research Centre (Varennes)/INRS - Centre Énergie Matériaux Télécommunications (Varennes)","AARN","Québec","Canada"
"585","The King's University (Edmonton, Alberta)","TKUC","Alberta","Canada"
