"","organization","province"
"438","Centre hospitalier universitaire Sainte-Justine (Montréal, Québec)","Québec"
"439","Charles LeMoyne Hospital (Greenfield Park, Québec)/Hôpital Charles LeMoyne (Greenfield Park, Québec)","Québec"
"440","CIUSSS de Centre-Ouest-de-l'Ile-de-Montréal-Jewish General/CIUSSS de Centre-Ouest-de-l'Ile-de-Montréal-Hôpital juif","Québec"
"441","CIUSSS de l'Est-de-l'lle-de-Montréal-Santé Mentale","Québec"
"442","CIUSSS de l'Ouest de-l'Ile-de-Montréal-Cavendish","Québec"
"443","CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital/CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Hôpital Douglas","Québec"
"444","CIUSSS du Centre-Sud-de-l'Île-de-Montréal (Montréal, Québec)","Québec"
"445","CIUSSS du Nord-de-l'Ile-de Montréal - Hôpital Sacré Coeur","Québec"
"446","CIUSSS Est-de-l'Ile-de- Montréal-Maisonneuve Rosemont","Québec"
"447","COCQ-Sida (Montréal, Québec)","Québec"
"448","Collège Édouard-Montpetit (Longueuil, QC)","Québec"
"449","Commission de santé/services soc. des Premières Nations du Qué & Labrador","Québec"
"450","Concordia University (Montreal, Quebec)/Université Concordia","Québec"
"451","Cree Board of Health & Social Services (Quebec)/Conseil Cri de la Santé et des Services sociaux de la Baie-James","Québec"
"452","Ecole nationale d'administration publique (Québec)","Québec"
"453","Exactis Innovation (Quebec)/Innovation Exactis","Québec"
"454","Fonds de recherche du Québec - Santé (FRQS)","Québec"
"455","Future Earth (Montreal, QC)","Québec"
"456","Hôpital du Saint-Sacrement (Québec)","Québec"
"457","Hôpital Notre-Dame (Montréal)","Québec"
"458","Hôtel-Dieu de Montréal (Montréal)","Québec"
"459","HEC Montréal","Québec"
"460","INRS - (Québec, QC)","Québec"
"461","INRS-Institut Armand-Frappier (Laval)","Québec"
"462","INRS-Institut Armand-Frappier (Pointe-Claire)","Québec"
"463","Inst. de rech. Robert-Sauvé en santé et en sécurité du travail (QC)","Québec"
"464","Institut de recherches cliniques de Montréal","Québec"
"465","Institut national de santé publique du Québec","Québec"
"466","Institut universitaire de gériatrie de Sherbrooke","Québec"
"467","Institute for Research in Immun & Cancer/CECR in Therapeutics Discovery(QC)","Québec"
"468","Italian Scientific Community in Canada (Montreal, QC)","Québec"
"469","Kahnawake Schools Diabetes Prevention Project (Quebec)","Québec"
"470","Lady Davis Institute for Medical Research (Mtl)","Québec"
"471","Makivik Corporation (Kuujjuaq, Quebec)","Québec"
"472","McGill University Health Centre/Centre Universitaire de Santé McGill","Québec"
"473","McGill University/Université McGill","Québec"
"474","Meakins Christie Labs (Québec)","Québec"
"475","MEDTEQ (Montréal, Québec)","Québec"
"476","Merck Frosst Canada Inc. (Quebec)","Québec"
"477","Montréal International (Québec)","Québec"
"478","Montreal Children's Hospital/Hôpital de Montréal pour enfants","Québec"
"479","Montreal General Hospital/Hôpital général de Montréal","Québec"
"480","Montreal Heart Institute/Institut de cardiologie de Montréal","Québec"
"481","Montreal InVivo/Montréal InVivo","Québec"
"482","Musée Armand-Frappier centre d'interprétation des biosciences (Laval, QC)","Québec"
"483","National Research Council of Canada (Montréal)","Québec"
"484","NeoMed Inc. (Montreal, QC)","Québec"
"485","Occupational and Environmental  Medical Association of Canada (Quebec)/Association Canadienne de la Médecine du Travail et de l'Environement (QC)","Québec"
"486","Ovarian Cancer Canada (Montreal, QC)/Cancer de l'ovaire Canada (Montréal)","Québec"
"487","Polytechnique Montréal","Québec"
"488","Quebec Consortium for Drug Discovery/Consortium québécois sur la découverte du médicament","Québec"
"489","RÉZO (Québec)","Québec"
"490","Research Institute of the McGill University Health Centre/Institut de recherche du Centre universitaire de santé McGill","Québec"
"491","Royal Victoria Hospital (Montreal)/Hôpital Royal Victoria","Québec"
"492","Science and Policy Exchange (Montreal, QC)/Dialogue sciences et politiques","Québec"
"493","Share Your Science (Québec, QC)","Québec"
"494","Société québécoise de lipidologie, de nutrition & de métabolisme (Québec)","Québec"
"495","Society of Cardiac Surgeons (Quebec)","Québec"
"496","St. Mary's Hospital Center (Montreal)","Québec"
"497","Télé-université (Québec)","Québec"
"498","Université de Montréal","Québec"
"499","Université de Sherbrooke","Québec"
"500","Université du Québec","Québec"
"501","Université du Québec à Chicoutimi","Québec"
"502","Université du Québec à Montréal","Québec"
"503","Université du Québec à Rimouski","Québec"
"504","Université du Québec à Trois-Rivières","Québec"
"505","Université du Québec en Abitibi-Témiscamingue","Québec"
"506","Université du Québec en Outaouais","Québec"
"507","Université Laval","Québec"
"508","All Nations Hope Network (Regina, Saskatchewan)","Saskatchewan"
"509","Alzheimer Society of Saskatchewan","Saskatchewan"
"510","First Nations University of Canada - Main Campus (Regina, Saskatchewan)","Saskatchewan"
"511","First Nations University of Canada - Northern Campus (Prince Albert, Sask)","Saskatchewan"
"512","National Native Addictions Partnership Foundation (Muskoday, Saskatchewan)/La fondation autochtone nat. de partenariat pour lutte contre dépendances","Saskatchewan"
"513","Pan-Provincial Vaccine Enterprise","Saskatchewan"
"514","Regina Qu'Appelle Health Region (Saskatchewan)","Saskatchewan"
"515","Saskatchewan Health Authority (Saskatoon)","Saskatchewan"
"516","Saskatchewan Health Research Foundation","Saskatchewan"
"517","Saskatchewan HIV/AIDS Research Endeavor","Saskatchewan"
"518","Saskatchewan Inst. of Applied Science & Tech (SK)","Saskatchewan"
"519","Saskatchewan Polytechnic (SK)","Saskatchewan"
"520","Saskatoon Health Region (Saskatchewan)","Saskatchewan"
"521","University of Regina (Saskatchewan)","Saskatchewan"
"522","University of Saskatchewan","Saskatchewan"
"523","Undetermined/Indeterminé","Unknown"
"524","Unspecified/Non Spécifié","Unknown"
"525","C.N.R.S. (France)","Unknown/Inconnu"
"526","CNRS (Bordeaux, France)","Unknown/Inconnu"
"527","Direct payment to individual inside Canada/Versement direct à un invididu à l'intérieur du Canada","Unknown/Inconnu"
"528","Direct payment to individual outside Canada/Versement direct à un invididu à l'extérieur du Canada","Unknown/Inconnu"
"529","Direct payment to organization outside Canada/Versement direct à un organisation à l'extérieur du Canada","Unknown/Inconnu"
"530","Hôpital Lariboisière (France)","Unknown/Inconnu"
"531","Human Frontier Science Program","Unknown/Inconnu"
"532","Organizations inside Canada","Unknown/Inconnu"
"533","Universidade Federal de Santa Catarina (Brazil)","Unknown/Inconnu"
"534","Université Libre de Bruxelles (Belgium)","Unknown/Inconnu"
"535","University of Birmingham (U.K.)","Unknown/Inconnu"
"536","University of Manchester (England)","Unknown/Inconnu"
"537","University of Newcastle upon Tyne (UK)","Unknown/Inconnu"
"538","World Health Organization (Switzerland)/Organisation mondiale de la santé","Unknown/Inconnu"
"539","University of Virginia (Charlottesville)","Virginia"
"540","Arctic Institute of Community-Based Research (Whitehorse, Yukon)","Yukon"
"541","Liard Aboriginal Women's Society (LAWS)","Yukon"
"542","Yukon University","Yukon"
